We_Ai,As
0,0.0500000000000942
0.1,0.0696000000000948
0.2,0.159900000000093
0.3,0.260000000000082
0.4,0.36710000000007
0.5,0.479700000000057
0.6,0.596900000000044
0.7,0.718100000000031
0.8,0.842800000000017
0.9,0.957500000000005
1,1
