year,month,day,qnat_SFLN2-CU,qadj_SFLN2-CU,qdiv_SFLN2-CU,qrfin_SFLN2-CU,qrfout_SFLN2-CU,qol_SFLN2-CU,qcd_SFLN2-CU,ce_SFLN2-CU,rfstor_SFLN2-CU
1979,10,1,39.89857638937857,28.318691433262302,14.050069836220814,4.0540734364382445,2.4702135924632387,0.1893288903852124,9.806667509397357,0.3242281377315521,816.70233154296875
1979,10,2,71.5449877955049,61.74913529613741,12.266173109620809,3.539339404872436,2.4703722508243118,0.16529070154999204,8.56154300319838,0.28306183218955994,816.75469970703125
1979,10,3,75.14699882174492,64.48484536936212,13.13257300383259,3.7893344638385145,2.470478812410107,0.1769656415127372,9.166272898481338,0.30305540561676025,816.7900390625
1979,10,4,75.73252975647628,63.982889255950795,14.220201064916182,4.103163859421414,2.4706106330384614,0.19162167472748592,9.925415530767282,0.32815420627593994,816.8336181640625
1979,10,5,76.19726751924654,64.45058989781182,14.217393101351718,4.102353728254343,2.4707740274700143,0.19158352304862092,9.923455850048754,0.3280894160270691,816.88763427734375
1979,10,6,76.72083413285384,65.82334308376039,13.368378795641206,3.857374957271446,2.4709371587865405,0.18014301857462556,9.330860819795134,0.30849701166152954,816.94158935546875
1979,10,7,77.3654208766873,67.99653848903881,11.83990255985691,3.41634128647695,2.4710760835206145,0.15954611117302875,8.264015162206931,0.27322494983673096,816.98748779296875
1979,10,8,77.96919002554071,68.42067570216659,12.019633277184766,3.468201521345719,2.4711708049302104,0.16196808499339,8.389463670845657,0.2773725390434265,817.01873779296875
1979,10,9,78.49578679855192,68.72023110755345,12.24677206001536,3.5337413695653197,2.4712705255253127,0.16502863898344344,8.548002051466597,0.282614141702652,817.0517578125
1979,10,10,79.01349905344136,69.3996572539836,12.085163653263407,3.4871100196212694,2.4713765608810547,0.1628510990228449,8.435202534619293,0.27888476848602295,817.0867919921875
1979,10,11,79.56203845145744,70.28042743849119,11.75303671249685,3.3912766859227474,2.4714781232813436,0.1583755124194397,8.203384514154664,0.2712203860282898,817.120361328125
1979,10,12,80.13426619523015,71.29171951558146,11.314062969246038,3.2646131120909274,2.4715699504256463,0.15246016039017718,7.896989696764933,0.26109036803245544,817.1507568359375
1979,10,13,80.71979987669641,73.0099069478847,10.181492756689522,2.9378158293042986,2.4716491480486695,0.13719896261412146,7.106477964771102,0.23495444655418396,817.17694091796875
1979,10,14,82.76033434894174,77.02523590730289,8.206743966814997,2.368012612004634,2.471695456293361,0.11058829816329308,5.72814305664707,0.18938392400741577,817.19232177734375
1979,10,15,84.77371477983436,80.04405353936818,7.2012830449454555,2.0778921168010953,2.4716851948073213,0.09703932142319616,5.026351606721164,0.1661812961101532,817.1888427734375
1979,10,16,83.82151683971878,78.89583640240653,7.397267956159965,2.134442508577507,2.471645727553323,0.09968033850324787,5.16314510907921,0.1707039624452591,817.17584228515625
1979,10,17,83.1320452807399,79.46056123657672,6.143043879879144,1.7725427869697796,2.471612048829911,0.08277940788107685,4.287721685028288,0.1417606920003891,817.16461181640625
1979,10,18,85.10320188701024,82.9258829639557,4.648798909062691,1.3413863227184066,2.471541797117794,0.06264413579374661,3.244768450550538,0.10727857053279877,817.1414794921875
1979,10,19,109.01334379821158,107.99145809621677,3.4932440202376824,1.0079570941274199,2.4714286576563325,0.047072593843751065,2.4382143322665115,0.08061226457357407,817.10406494140625
1979,10,20,100.97186524301748,100.22484136892945,3.218239088642946,0.9286058777073904,2.471282365701512,0.04336681602958237,2.246266394905973,0.07426608353853226,817.0556640625
1979,10,21,91.11655664071895,88.96937832595995,4.618234415106315,1.3325671016974638,2.4711279171808656,0.06223196610449122,3.2234353473043598,0.10657325387001038,817.004638671875
1979,10,22,87.78191384304046,84.67097127658417,5.581894778921196,1.610626272521614,2.471014514604377,0.075217482015006,3.896051024384576,0.1288112848997116,816.967041015625
1979,10,23,86.25738877187632,82.4099417606476,6.318313745045089,1.823115994685665,2.470928475990661,0.08514125991784738,4.410056490441576,0.14580532908439636,816.93865966796875
1979,10,24,85.00197493856315,80.87980790019537,6.59297531153004,1.9023682140769154,2.4708637496941037,0.08884210432526629,4.601764993127858,0.15214361250400543,816.91729736328125
1979,10,25,83.92742182934617,80.93725538265517,5.460908701134542,1.5757163023425136,2.470806916848346,0.07358735286736362,3.811605045924665,0.12601932883262634,816.89849853515625
1979,10,26,83.00538983399167,81.29911642635398,4.176924999763884,1.2052296902823798,2.4707174577392834,0.05628530338705673,2.9154100060944472,0.09638931602239609,816.868896484375
1979,10,27,81.95148447568334,80.98741984117714,3.434595943911262,0.9910345222943064,2.4705908994114623,0.046282262082435466,2.39727915953452,0.07925887405872345,816.8270263671875
1979,10,28,81.08425841243792,81.34740329604574,2.2072482782581915,0.6368898529822147,2.470443028766482,0.029743246179428695,1.540615179096548,0.050935834646224976,816.77813720703125
1979,10,29,80.10591710489338,80.5329423080957,2.043180272237066,0.5895488818112753,2.4702596375929033,0.02753242216795826,1.4260989682578327,0.04714969918131828,816.717529296875
1979,10,30,79.07205196302479,79.75411340951541,1.787958827939022,0.5159060774520441,2.4700717734638715,0.02409331143330462,1.2479594390536732,0.04126004874706268,816.6553955078125
1979,10,31,78.13498181174877,79.15472474927356,1.4500801926897822,0.4184129812760027,2.4698762789990667,0.0195402703439278,1.0121269410698517,0.03346295282244682,816.59075927734375
1979,11,1,77.45270667060477,78.28044192886318,1.6418806540778803,0.4737559710844721,2.4696710492782756,0.022124816361383637,1.1459998666320246,0.037889059633016586,816.52288818359375
1979,11,2,77.35621234367441,78.1353287293623,1.6903005284156194,0.48772728033172896,2.4694713449730443,0.022777308738110236,1.1797959393457802,0.03900642693042755,816.4569091796875
1979,11,3,78.19325296806325,79.23527583599389,1.4271969472640649,0.4118101425714684,2.4692729562429463,0.01923186664330956,0.9961549380492869,0.03293488547205925,816.391357421875
1979,11,4,81.65933547009246,82.60411644047872,1.5242223235908483,0.4398063049739065,2.469067200292102,0.02053935098951598,1.0638766676274258,0.03517390415072441,816.32330322265625
1979,11,5,84.4710978816889,85.44557349537627,1.4943242999969897,0.43117938814807033,2.468864075491524,0.020136423215571853,1.0430084886333475,0.034483958035707474,816.25616455078125
