year,month,day,hour,map_mm,mat_degc,ptps
1979,11,3,6,0.3048,1.046,0.843333333333333
1979,11,3,12,3.5814,2.861,0.335
1979,11,3,18,2.2098,0.713,0.801666666666667
1979,11,4,0,3.7846,0.796,0.671666666666667
1979,11,4,6,0.7366,1.204,0.58
1979,11,4,12,2.54,3.463,0.156666666666667
1979,11,4,18,0.0254,-0.472,0.89
1979,11,5,0,0.127,-1.389,1
1979,11,5,6,0,0.861,0.593333333333333
1979,11,5,12,0,4.546,0.065
1979,11,5,18,0,0.167,0.931666666666667
1979,11,6,0,0,-1.287,1
1979,11,6,6,0,1.148,0.676666666666667
1979,11,6,12,0,3.917,0.191666666666667
1979,11,6,18,0,-1.926,0.988333333333333
1979,11,7,0,0,-2.444,1
1979,11,7,6,0,0.769,0.708333333333333
1979,11,7,12,0,4.148,0.22
1979,11,7,18,0,-1.407,0.991666666666667
1979,11,8,0,0,-2.315,1
1979,11,8,6,0,-0.657,0.89
1979,11,8,12,0,2.704,0.403333333333333
1979,11,8,18,0,-0.065,0.983333333333333
1979,11,9,0,0,-1.296,1
1979,11,9,6,0,-0.12,0.858333333333333
1979,11,9,12,0,2.741,0.576666666666667
1979,11,9,18,0,-4.037,1
1979,11,10,0,0,-6.917,1
1979,11,10,6,0,-2.333,0.89
1979,11,10,12,0,2.963,0.46
1979,11,10,18,0,-0.722,1
1979,11,11,0,0,-2.546,1
1979,11,11,6,0,-2.111,0.788333333333333
1979,11,11,12,0,3.278,0.465
1979,11,11,18,0,-3.898,1
1979,11,12,0,0,-5.5,1
1979,11,12,6,0,-0.981,0.951666666666667
1979,11,12,12,0,2.694,0.78
1979,11,12,18,0,-4.444,1
1979,11,13,0,0,-5.583,1
1979,11,13,6,0,-1.324,0.735
1979,11,13,12,0,5.861,0.315
1979,11,13,18,0,0.333,0.948333333333333
1979,11,14,0,0,-4.907,1
1979,11,14,6,0,-1.37,0.735
1979,11,14,12,0,4.852,0.401666666666667
1979,11,14,18,0,-3.972,1
1979,11,15,0,0,-6.444,1
1979,11,15,6,0,0.417,0.786666666666667
1979,11,15,12,0,5.269,0.48
1979,11,15,18,0,-4.417,1
1979,11,16,0,0,-5.778,1
1979,11,16,6,0,1.713,0.691666666666667
1979,11,16,12,0,6.454,0.295
1979,11,16,18,0.0508,1.444,0.983333333333333
1979,11,17,0,0,0.157,1
1979,11,17,6,0,2.741,0.918333333333333
1979,11,17,12,0.0254,3.389,0.676666666666667
1979,11,17,18,0.254,-1.639,1
1979,11,18,0,0.5842,-4.731,1
1979,11,18,6,0.127,-3.296,1
1979,11,18,12,0.3048,-2.269,1
1979,11,18,18,0.0508,-5.241,1
1979,11,19,0,0.0254,-6.528,1
1979,11,19,6,0,-6.972,1
1979,11,19,12,0,-3.991,1
1979,11,19,18,0,-7.333,1
1979,11,20,0,0,-9.972,1
1979,11,20,6,0,-8.889,1
1979,11,20,12,0,-3.954,1
1979,11,20,18,0,-9.315,1
1979,11,21,0,0,-12.861,1
1979,11,21,6,0,-9.157,1
1979,11,21,12,0,-2.556,1
1979,11,21,18,0,-8.481,1
1979,11,22,0,0,-11.657,1
1979,11,22,6,0,-7.056,1
1979,11,22,12,0.0254,-0.972,1
1979,11,22,18,9.0678,-4.546,1
1979,11,23,0,7.747,-4.62,1
1979,11,23,6,6.858,-3.546,0.991666666666667
1979,11,23,12,0.0508,-4.148,0.996666666666667
1979,11,23,18,0,-9.426,1
1979,11,24,0,0.5842,-8.907,1
1979,11,24,6,0.6096,-4.778,1
1979,11,24,12,0.508,-0.315,0.891666666666667
1979,11,24,18,0.4064,-2.139,0.996666666666667
1979,11,25,0,0.2032,-5.713,1
1979,11,25,6,0.2032,-7.713,1
1979,11,25,12,6.223,-5.917,1
1979,11,25,18,15.3416,-5.083,1
1979,11,26,0,2.54,-6.583,1
1979,11,26,6,0.0762,-8.065,1
1979,11,26,12,0.0508,-8.704,1
1979,11,26,18,0,-11.611,1
1979,11,27,0,0,-14.537,1
1979,11,27,6,0,-13.306,1
1979,11,27,12,0,-11.87,1
1979,11,27,18,0,-17.806,1
1979,11,28,0,0,-19.454,1
1979,11,28,6,0,-15.852,1
1979,11,28,12,0,-11.593,1
1979,11,28,18,0,-18.185,1
1979,11,29,0,0,-17.852,1
1979,11,29,6,0,-11.287,1
1979,11,29,12,0,-7.657,1
1979,11,29,18,0,-14.398,1
1979,11,30,0,0,-15.426,1
1979,11,30,6,0,-8.963,1
1979,11,30,12,0,-6.546,1
1979,11,30,18,0,-11.926,1
1979,12,1,0,0.1016,-11.444,1
1979,12,1,6,0.6096,-5.333,0.965
1979,12,1,12,0.6096,-0.907,0.816666666666667
1979,12,1,18,0.6096,-4.639,1
1979,12,2,0,1.651,-3.028,1
1979,12,2,6,0.0254,0.889,0.753333333333333
1979,12,2,12,0.2032,3.315,0.311666666666667
1979,12,2,18,0.2286,2.62,0.393333333333333
1979,12,3,0,0,1.556,0.596666666666667
1979,12,3,6,0,1.37,0.696666666666667
1979,12,3,12,0,3.037,0.523333333333333
1979,12,3,18,0,1.407,1
1979,12,4,0,0,2.361,0.856666666666667
1979,12,4,6,0,3.491,0.621666666666667
1979,12,4,12,0,4.5,0.03
1979,12,4,18,0,3.722,0.158333333333333
