year,month,day,hour,flow_cfs,Source
1990,1,6,6,56.7,USGS_13105000
1990,1,6,12,62,USGS_13105000
1990,1,6,18,63,USGS_13105000
1990,1,7,0,62,USGS_13105000
1990,1,7,6,60.2,USGS_13105000
1990,1,7,12,57.5,USGS_13105000
1990,1,7,18,63,USGS_13105000
1990,1,8,0,64.9,USGS_13105000
1990,1,8,6,66.8,USGS_13105000
1990,1,8,12,67.8,USGS_13105000
1990,1,8,18,68.8,USGS_13105000
1990,1,9,0,84.9,USGS_13105000
1990,1,9,6,173,USGS_13105000
1990,1,9,12,186,USGS_13105000
1990,1,9,18,163,USGS_13105000
1990,1,10,0,139,USGS_13105000
1990,1,10,6,112,USGS_13105000
1990,1,10,12,98.3,USGS_13105000
1990,1,10,18,87.2,USGS_13105000
1990,1,11,0,78.2,USGS_13105000
1990,1,11,6,76,USGS_13105000
1990,1,11,12,72.8,USGS_13105000
1990,1,11,18,77.1,USGS_13105000
1990,1,12,0,70.8,USGS_13105000
1990,1,12,6,71.8,USGS_13105000
1990,1,12,12,66.8,USGS_13105000
1990,1,12,18,64.9,USGS_13105000
1990,1,13,0,65.8,USGS_13105000
1990,1,13,6,63.9,USGS_13105000
1990,1,13,12,65.8,USGS_13105000
1990,1,13,18,66.8,USGS_13105000
1990,1,14,0,67.8,USGS_13105000
1990,1,14,6,68.8,USGS_13105000
1990,1,14,12,68.8,USGS_13105000
1990,1,14,18,68.8,USGS_13105000
1990,1,15,0,70.8,USGS_13105000
1990,1,15,6,70.8,USGS_13105000
1990,1,15,12,67.8,USGS_13105000
1990,1,15,18,67.8,USGS_13105000
1990,1,16,0,66.8,USGS_13105000
1990,1,16,6,65.8,USGS_13105000
1990,1,16,12,65.8,USGS_13105000
1990,1,16,18,64.9,USGS_13105000
1990,1,17,0,64.9,USGS_13105000
1990,1,17,6,57.5,USGS_13105000
1990,1,17,12,56.7,USGS_13105000
1990,1,17,18,65.8,USGS_13105000
1990,1,18,0,66.8,USGS_13105000
1990,1,18,6,62,USGS_13105000
1990,1,18,12,54.9,USGS_13105000
1990,1,18,18,63.9,USGS_13105000
1990,1,19,0,61.1,USGS_13105000
1990,1,19,6,50,USGS_13105000
1990,1,19,12,31.5,USGS_13105000
1990,1,19,18,40.4,USGS_13105000
1990,1,20,0,41,USGS_13105000
1990,1,20,6,37.7,USGS_13105000
1990,1,20,12,38.3,USGS_13105000
1990,1,20,18,41.7,USGS_13105000
1990,1,21,0,39.7,USGS_13105000
1990,1,21,6,37,USGS_13105000
1990,1,21,12,42.5,USGS_13105000
1990,1,21,18,50.8,USGS_13105000
1990,1,22,0,53.2,USGS_13105000
1990,1,22,6,48.4,USGS_13105000
1990,1,22,12,54.1,USGS_13105000
1990,1,22,18,59.3,USGS_13105000
1990,1,23,0,58.4,USGS_13105000
1990,1,23,6,54.1,USGS_13105000
1990,1,23,12,65.8,USGS_13105000
1990,1,23,18,63.9,USGS_13105000
1990,1,24,0,56.7,USGS_13105000
1990,1,24,6,43.2,USGS_13105000
1990,1,24,12,66.8,USGS_13105000
1990,1,24,18,63,USGS_13105000
1990,1,25,0,47.6,USGS_13105000
1990,1,25,6,46.9,USGS_13105000
1990,1,25,12,54.1,USGS_13105000
1990,1,25,18,57.5,USGS_13105000
1990,1,26,0,54.9,USGS_13105000
1990,1,26,6,61.1,USGS_13105000
1990,1,26,12,61.1,USGS_13105000
1990,1,26,18,61.1,USGS_13105000
1990,1,27,0,53.2,USGS_13105000
