year,month,day,hour,map_mm,mat_degc,ptps
1979,11,3,6,0.127,1.87,0.606666666666667
1979,11,3,12,1.905,4.546,0.00333333333333333
1979,11,3,18,1.0414,1.269,0.511666666666667
1979,11,4,0,2.6416,1.5,0.398333333333333
1979,11,4,6,0.7112,2.861,0.231666666666667
1979,11,4,12,1.524,6,0
1979,11,4,18,0,0.231,0.733333333333333
1979,11,5,0,0.127,-1.426,0.998333333333333
1979,11,5,6,0,1.648,0.498333333333333
1979,11,5,12,0,6.63,0
1979,11,5,18,0,0.231,0.865
1979,11,6,0,0,-1.87,1
1979,11,6,6,0,1.537,0.555
1979,11,6,12,0,5.676,0.0483333333333333
1979,11,6,18,0,-1.685,0.985
1979,11,7,0,0,-2.435,1
1979,11,7,6,0,1.63,0.583333333333333
1979,11,7,12,0,6.148,0.0266666666666667
1979,11,7,18,0,-0.222,0.965
1979,11,8,0,0,-1.528,1
1979,11,8,6,0,0.231,0.685
1979,11,8,12,0,4.222,0.08
1979,11,8,18,0,0.667,0.961666666666667
1979,11,9,0,0,-0.787,1
1979,11,9,6,0,1.083,0.655
1979,11,9,12,0,4.852,0.233333333333333
1979,11,9,18,0,-3.713,1
1979,11,10,0,0,-7.093,1
1979,11,10,6,0,-1.361,0.706666666666667
1979,11,10,12,0,5.204,0.138333333333333
1979,11,10,18,0,0.583,0.998333333333333
1979,11,11,0,0,-1.065,1
1979,11,11,6,0,-0.537,0.665
1979,11,11,12,0,5.917,0.215
1979,11,11,18,0,-2.815,1
1979,11,12,0,0,-5.361,1
1979,11,12,6,0,0.25,0.745
1979,11,12,12,0,5.269,0.288333333333333
1979,11,12,18,0,-2.546,1
1979,11,13,0,0,-3.991,1
1979,11,13,6,0,-0.222,0.685
1979,11,13,12,0,8.231,0.0583333333333333
1979,11,13,18,0,2.343,0.7
1979,11,14,0,0,-4.417,1
1979,11,14,6,0,-0.972,0.698333333333333
1979,11,14,12,0,6.315,0.315
1979,11,14,18,0,-3.769,1
1979,11,15,0,0,-6.602,1
1979,11,15,6,0,0.991,0.681666666666667
1979,11,15,12,0,6.889,0.356666666666667
1979,11,15,18,0,-3.417,0.99
1979,11,16,0,0,-5.019,1
1979,11,16,6,0,2.778,0.62
1979,11,16,12,0,7.944,0.116666666666667
1979,11,16,18,0.0254,1.657,0.956666666666667
1979,11,17,0,0,-0.185,1
1979,11,17,6,0,3.546,0.693333333333333
1979,11,17,12,0,5.62,0.0866666666666667
1979,11,17,18,0.0762,-0.019,0.951666666666667
1979,11,18,0,0.4572,-3.148,1
1979,11,18,6,0.1524,-1.481,1
1979,11,18,12,0.4318,-0.602,1
1979,11,18,18,0.0762,-3.843,1
1979,11,19,0,0.0254,-5.028,1
1979,11,19,6,0,-5.296,1
1979,11,19,12,0,-2.093,1
1979,11,19,18,0,-5.565,1
1979,11,20,0,0,-8.556,1
1979,11,20,6,0,-7.417,1
1979,11,20,12,0,-1.935,1
1979,11,20,18,0,-8.157,1
1979,11,21,0,0,-12.602,1
1979,11,21,6,0,-8.213,1
1979,11,21,12,0,-0.019,0.99
1979,11,21,18,0,-7.083,1
1979,11,22,0,0,-10.944,1
1979,11,22,6,0,-6.028,1
1979,11,22,12,0,0.565,1
1979,11,22,18,4.7752,-4.139,1
1979,11,23,0,4.1402,-3.926,1
1979,11,23,6,3.7592,-0.481,0.768333333333333
1979,11,23,12,0.0254,-1.139,0.796666666666667
1979,11,23,18,0,-8.38,1
1979,11,24,0,0.2032,-8.778,1
1979,11,24,6,0.5588,-4.62,0.991666666666667
1979,11,24,12,0.4064,1.194,0.405
1979,11,24,18,0.3302,-0.63,0.863333333333333
1979,11,25,0,0.127,-5.093,1
1979,11,25,6,0.1016,-7.815,1
1979,11,25,12,3.175,-5.435,1
1979,11,25,18,8.6614,-4.731,1
1979,11,26,0,1.1938,-5.602,1
