MFNW1_Q,MFNW1_lag,MFNW1_k,NFNW1_Q,NFNW1_lag,NFNW1_k,NSSW1_Q,NSSW1_lag,NSSW1_k
328.718625853512,3.7469663300826417,0,673.83017764783,8.021194393935964,0,265.848327497849,4.182974638691273,0
2587.480919725991,3.0403124402266366,0,3328.0650169395076,6.9721964713596805,0,4265.423195230144,2.576455736,0
4846.24321359847,2.2448049873097116,0.609089404193183,5982.299856231185,5.732835006900496,0,8264.998062962439,2.576455736,0
7105.00550747095,2.093836481,1.6352107846454322,8636.534695522862,4.49467977,0.134466344716911,12264.572930694736,2.576455736,0.3241219460774627
9363.767801343427,2.093836481,2.451419601599631,11290.769534814539,4.49467977,0.70502022401052,16264.14779842703,2.576455736,0.9403788067186677
11622.530095215905,2.093836481,3.05771585505578,13945.004374106215,4.49467977,0.8476193220080412,20263.722666159323,2.576455736,1.2620246271419284
13881.292389088383,2.093836481,3.4540995450138787,16599.23921339789,4.49467977,0.5622636387094765,24263.29753389162,2.576455736,1.2890594073472466
16140.054682960861,2.093836481,3.6405706714739274,19253.474052689566,4.49467977,0,28262.87240162391,2.576455736,1.0214831473346262
18398.81697683334,2.093836481,3.617129234435926,21907.708891981245,4.49467977,0,32262.447269356206,2.576455736,0.4592958471040594
20657.579270705817,2.093836481,3.383775233899875,24561.94373127292,4.49467977,0,36262.0221370885,2.576455736,0
22916.341564578295,2.093836481,2.9405086698657743,27216.178570564596,4.49467977,0,40261.59700482079,2.576455736,0
