year,month,day,hour,MFNW1,NFNW1,NSSW1
1979,10,1,0,4.923054601573944,637.1313083597183,245.6922240682125
1979,10,1,6,209.34023625822067,637.1313083597183,132.62725498178006
1979,10,1,12,206.7506456155777,321.94177770500187,144.1300794766426
1979,10,1,18,193.9866119052887,311.65407309398654,168.62240830845835
1979,10,2,0,180.66415129919054,291.63877470388417,162.98041402020456
1979,10,2,6,184.59898798928262,290.07119857063293,159.28291128673555
1979,10,2,12,185.5438108669758,311.50470796022415,152.57062404055597
1979,10,2,18,176.2789627334118,304.4484430830002,140.58115042696
1979,10,3,0,172.74891060762405,289.17635491695404,135.75107435820104
1979,10,3,6,179.13751165299416,296.2178685137749,143.31523962798119
1979,10,3,12,182.02844266414644,281.0651209004879,145.5556829556942
1979,10,3,18,176.2453345291138,251.89946519355775,138.04694444327356
1979,10,4,0,173.25528703799247,235.7508714381695,135.0959726897955
1979,10,4,6,177.44379186506274,274.3704981441975,140.3257562554598
1979,10,4,12,180.71133518924714,316.9455392396927,142.67426618361475
1979,10,4,18,177.674171165514,299.5700464673042,138.2234293682337
1979,10,5,0,177.57340442814828,276.8341303651333,135.54650137877465
1979,10,5,6,186.65273331947327,302.10706462430954,136.10111415927412
1979,10,5,12,191.2093297428131,324.12186876220704,135.71502128589154
1979,10,5,18,185.86936623687745,311.2378377640724,132.8628123857975
1979,10,6,0,183.26273416070939,295.9907728887558,131.79980245158674
1979,10,6,6,187.9985013871193,313.9233454080582,134.3881133027792
1979,10,6,12,190.78194675579073,347.29727535209656,135.54672871015072
1979,10,6,18,186.90495327138902,344.99850047721867,133.43356569399833
1979,10,7,0,185.74995832667352,331.54236902198795,132.83490956430435
1979,10,7,6,192.06460089769365,344.7821483646393,135.52163806197643
1979,10,7,12,196.43460035967829,360.47468170089724,137.02639495830536
1979,10,7,18,193.65007727189064,346.8282991429329,135.39719518277647
1979,10,8,0,190.1207660779953,331.45675770969393,134.08523213272096
1979,10,8,6,188.89696550345423,329.4911664353371,133.40995690960884
1979,10,8,12,188.14884320383072,319.29803167676926,132.48509709460737
1979,10,8,18,184.8462066509247,301.0796615193367,131.08469371957779
1979,10,9,0,182.9895828828335,289.1173834740639,130.39197291827202
1979,10,9,6,187.11635461177826,287.66882794570927,131.1002027712345
1979,10,9,12,189.47711517519951,286.2399071125031,131.0164185296297
1979,10,9,18,185.4331089065075,275.21095066123013,129.69855328347683
1979,10,10,0,183.52163933901787,264.5706298268795,128.53566909804346
1979,10,10,6,189.26623585500718,288.15881967763903,127.54718175678254
1979,10,10,12,193.83273382272722,331.7633014408112,126.49083178992272
1979,10,10,18,191.1029049800873,330.6554061893463,125.31213544433118
1979,10,11,0,186.31606397118568,314.98378733968735,124.98353215005399
1979,10,11,6,182.7571996984005,317.7443648558617,126.6462085756302
1979,10,11,12,181.41714017419815,323.86665140399936,127.8227663223505
