year,month,day,hour,routed_MFNW1,lag_time_MFNW1,k_inflow_MFNW1,k_storage_MFNW1,routed_NFNW1,lag_time_NFNW1,k_inflow_NFNW1,k_storage_NFNW1,routed_NSSW1,lag_time_NSSW1,k_inflow_NSSW1,k_storage_NSSW1
1979,10,1,0,4.923054601573944,3.7469663619995117,247.4025306269169,0,637.1313083597183,8.0211944580078125,637.1313083597183,7.727852280235291,245.6922240682125,4.182974815368652,265.07826920933724,0
1979,10,1,6,209.34023625822067,3.7469663619995117,209.34023625822067,727.4383775579453,637.1313083597183,8.0211944580078125,637.1313083597183,7.727650207901001,132.62725498178006,4.182974815368652,132.62725498178006,58.15816068241597
1979,10,1,12,206.7506456155777,3.7469663619995117,206.7506456155777,727.4383102005005,321.94177770500187,8.0211944580078125,321.94177770500187,7.727650207901001,144.1300794766426,4.182974815368652,144.1300794766426,58.158135423374176
1979,10,1,18,193.9866119052887,3.7469663619995117,193.9866119052887,727.4383775579453,311.65407309398654,8.0211944580078125,311.65407309398654,7.727650207901001,168.62240830845835,4.182974815368652,168.62240830845835,58.15808490529061
1979,10,2,0,180.66415129919054,3.7469663619995117,180.66415129919054,727.43844491539,291.63877470388417,8.0211944580078125,291.63877470388417,7.727751244068147,162.98041402020456,4.182974815368652,162.98041402020456,58.158135423374176
1979,10,2,6,184.59898798928262,3.7469663619995117,184.59898798928262,727.4385122728348,290.07119857063293,8.0211944580078125,290.07119857063293,7.727549171733856,159.28291128673555,4.182974815368652,159.28291128673555,58.15818594145775
1979,10,2,12,185.5438108669758,3.7469663619995117,185.5438108669758,727.43844491539,311.50470796022415,8.0211944580078125,311.50470796022415,7.727751244068147,152.57062404055597,4.182974815368652,152.57062404055597,58.15818594145775
1979,10,2,18,176.2789627334118,3.7469663619995117,176.2789627334118,727.4383102005005,304.4484430830002,8.0211944580078125,304.4484430830002,7.727549171733856,140.58115042696,4.182974815368652,140.58115042696,58.1582869776249
1979,10,3,0,172.74891060762405,3.7469663619995117,172.74891060762405,727.43844491539,289.17635491695404,8.0211944580078125,289.17635491695404,7.727650207901001,135.75107435820104,4.182974815368652,135.75107435820104,58.15826171858311
1979,10,3,6,179.13751165299416,3.7469663619995117,179.13751165299416,727.4383102005005,296.2178685137749,8.0211944580078125,296.2178685137749,7.727751244068147,143.31523962798119,4.182974815368652,143.31523962798119,58.15818594145775
1979,10,3,12,182.02844266414644,3.7469663619995117,182.02844266414644,727.4383775579453,281.0651209004879,8.0211944580078125,281.0651209004879,7.727902798318864,145.5556829556942,4.182974815368652,145.5556829556942,58.158135423374176
1979,10,3,18,176.2453345291138,3.7469663619995117,176.2453345291138,727.4383775579453,251.89946519355775,8.0211944580078125,251.89946519355775,7.727801762151719,138.04694444327356,4.182974815368652,138.04694444327356,58.158135423374176
1979,10,4,0,173.25528703799247,3.7469663619995117,173.25528703799247,727.4383102005005,235.7508714381695,8.0211944580078125,235.7508714381695,7.727801762151719,135.0959726897955,4.182974815368652,135.0959726897955,58.15816068241597
1979,10,4,6,177.44379186506274,3.7469663619995117,177.44379186506274,727.43844491539,274.3704981441975,8.0211944580078125,274.3704981441975,7.727852280235291,140.3257562554598,4.182974815368652,140.3257562554598,58.15816068241597
1979,10,4,12,180.71133518924714,3.7469663619995117,180.71133518924714,727.43844491539,316.9455392396927,8.0211944580078125,316.9455392396927,7.727852280235291,142.67426618361475,4.182974815368652,142.67426618361475,58.15808490529061
1979,10,4,18,177.674171165514,3.7469663619995117,177.674171165514,727.4386469877244,299.5700464673042,8.0211944580078125,299.5700464673042,7.727751244068147,138.2234293682337,4.182974815368652,138.2234293682337,58.15811016433239
1979,10,5,0,177.57340442814828,3.7469663619995117,177.57340442814828,727.4386469877244,276.8341303651333,8.0211944580078125,276.8341303651333,7.727700725984573,135.54650137877465,4.182974815368652,135.54650137877465,58.15808490529061
1979,10,5,6,186.65273331947327,3.7469663619995117,186.65273331947327,727.4385796302796,302.10706462430954,8.0211944580078125,302.10706462430954,7.727751244068147,136.10111415927412,4.182974815368652,136.10111415927412,58.15816068241597
1979,10,5,12,191.2093297428131,3.7469663619995117,191.2093297428131,727.4385796302796,324.12186876220704,8.0211944580078125,324.12186876220704,7.727549171733856,135.71502128589154,4.182974815368652,135.71502128589154,58.15821120049954
1979,10,5,18,185.86936623687745,3.7469663619995117,185.86936623687745,727.4385796302796,311.2378377640724,8.0211944580078125,311.2378377640724,7.727751244068147,132.8628123857975,4.182974815368652,132.8628123857975,58.1582869776249
1979,10,6,0,183.26273416070939,3.7469663619995117,183.26273416070939,727.4387143451692,295.9907728887558,8.0211944580078125,295.9907728887558,7.727549171733856,131.79980245158674,4.182974815368652,131.79980245158674,58.15826171858311
1979,10,6,6,187.9985013871193,3.7469663619995117,187.9985013871193,727.4387817026138,313.9233454080582,8.0211944580078125,313.9233454080582,7.727650207901001,134.3881133027792,4.182974815368652,134.3881133027792,58.15831223666668
1979,10,6,12,190.78194675579073,3.7469663619995117,190.78194675579073,727.4388490600586,347.29727535209656,8.0211944580078125,347.29727535209656,7.727650207901001,135.54672871015072,4.182974815368652,135.54672871015072,58.15831223666668
