year,month,day,hour,flow_cfs
1979,10,1,0,321.942011561461
1979,10,1,6,321.942011561461
1979,10,1,12,306.428261502249
1979,10,1,18,284.126147554492
1979,10,2,0,293.091534386364
1979,10,2,6,320.858754919011
1979,10,2,12,296.112465209196
1979,10,2,18,285.653211278784
1979,10,3,0,301.584961479848
1979,10,3,6,270.641534076398
1979,10,3,12,242.378929837124
1979,10,3,18,232.384117794488
1979,10,4,0,295.699474808845
1979,10,4,6,327.738716439133
1979,10,4,12,285.260987552446
1979,10,4,18,272.553674134478
1979,10,5,0,317.12023458498
1979,10,5,6,327.678987977651
1979,10,5,12,302.886234645835
1979,10,5,18,292.488241590947
1979,10,6,0,324.812508900425
1979,10,6,6,358.719663093035
1979,10,6,12,338.028614008144
1979,10,6,18,328.247785141977
1979,10,7,0,353.181845025566
1979,10,7,6,364.179788268412
1979,10,7,12,338.014302000942
1979,10,7,18,328.125971518352
1979,10,8,0,330.185026373642
1979,10,8,6,313.767903479561
1979,10,8,12,294.634450777808
1979,10,8,18,286.315051627812
1979,10,9,0,288.356809291403
1979,10,9,6,285.164861419526
1979,10,9,12,270.154769406945
1979,10,9,18,261.734237548588
1979,10,10,0,301.582585091737
1979,10,10,6,347.095193157483
1979,10,10,12,322.304523943248
1979,10,10,18,311.265251178375
1979,10,11,0,321.035997387772
1979,10,11,6,325.304928600944
1979,10,11,12,302.362889823192
1979,10,11,18,292.602938049463
1979,10,12,0,302.448765562624
1979,10,12,6,311.13552093033
1979,10,12,12,295.778010165072
1979,10,12,18,286.55646490155
1979,10,13,0,294.623054634466
1979,10,13,6,307.299397323338
1979,10,13,12,304.266771248124
1979,10,13,18,296.353647545936
1979,10,14,0,281.488587953107
1979,10,14,6,302.686785626963
1979,10,14,12,335.26586443807
1979,10,14,18,303.465635749367
1979,10,15,0,283.776850147837
1979,10,15,6,263.899210002106
1979,10,15,12,260.58539478006
1979,10,15,18,299.912293028041
1979,10,16,0,371.23370741031
1979,10,16,6,313.957119602179
1979,10,16,12,272.832996397771
1979,10,16,18,233.691859125228
1979,10,17,0,252.008639299918
1979,10,17,6,236.533978564865
1979,10,17,12,256.6837416274
1979,10,17,18,283.864875991572
1979,10,18,0,209.689941890021
1979,10,18,6,164.272611656453
1979,10,18,12,211.476592713697
1979,10,18,18,250.432621809708
1979,10,19,0,266.064501620847
1979,10,19,6,228.127719761406
1979,10,19,12,211.869199853042
1979,10,19,18,205.721533284207
1979,10,20,0,210.407894266195
1979,10,20,6,211.935827018955
1979,10,20,12,201.853884493943
1979,10,20,18,195.923155392261
1979,10,21,0,194.216168507255
1979,10,21,6,193.32400336676
1979,10,21,12,187.853219399998
1979,10,21,18,180.49588909604
1979,10,22,0,170.375817947117
1979,10,22,6,225.180098870369
1979,10,22,12,286.360215852948
1979,10,22,18,325.082045611949
1979,10,23,0,460.661164772262
1979,10,23,6,643.602613722619
1979,10,23,12,638.752904354943
1979,10,23,18,553.190087951048
1979,10,24,0,483.350200683659
1979,10,24,6,437.881774636485
1979,10,24,12,410.250583784351
1979,10,24,18,554.714595474588
1979,10,25,0,1457.59856449652
